Id,ActivityDate_x,TotalSteps_x,TotalDistance_x,TrackerDistance_x,LoggedActivitiesDistance_x,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,ActivityDate_y,TotalSteps_y,TotalDistance_y,TrackerDistance_y,LoggedActivitiesDistance_y,VeryActiveDistance_y,ModeratelyActiveDistance_y,LightActiveDistance_y,SedentaryActiveDistance_y,VeryActiveMinutes_y,FairlyActiveMinutes_y,LightlyActiveMinutes_y,SedentaryMinutes_y,Calories_y
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/25/2016,11004,7.1100001335144,7.1100001335144,0.0,2.5699999332428,0.46000000834465,4.07000017166138,0.0,33,12,205,804,1819
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/26/2016,17609,11.5500001907349,11.5500001907349,0.0,6.92000007629395,0.730000019073486,3.91000008583069,0.0,89,17,274,588,2154
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/27/2016,12736,8.52999973297119,8.52999973297119,0.0,4.65999984741211,0.159999996423721,3.71000003814697,0.0,56,5,268,605,1944
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/28/2016,13231,8.93000030517578,8.93000030517578,0.0,3.19000005722046,0.790000021457672,4.94999980926514,0.0,39,20,224,1080,1932
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/29/2016,12041,7.84999990463257,7.84999990463257,0.0,2.16000008583069,1.0900000333786,4.6100001335144,0.0,28,28,243,763,1886
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/30/2016,10970,7.15999984741211,7.15999984741211,0.0,2.35999989509583,0.509999990463257,4.28999996185303,0.0,30,13,223,1174,1820
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,3/31/2016,12256,7.8600001335144,7.8600001335144,0.0,2.28999996185303,0.490000009536743,5.03999996185303,0.0,33,12,239,820,1889
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,4/1/2016,12262,7.86999988555908,7.86999988555908,0.0,3.3199999332428,0.829999983310699,3.64000010490417,0.0,47,21,200,866,1868
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,4/2/2016,11248,7.25,7.25,0.0,3.0,0.449999988079071,3.74000000953674,0.0,40,11,244,636,1843
1503960366,4/12/2016,13162.0,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25.0,13.0,328.0,728.0,1985.0,4/3/2016,10016,6.36999988555908,6.36999988555908,0.0,0.910000026226044,1.27999997138977,4.17999982833862,0.0,15,30,314,655,1850
